File,Detection method,X,Y,georef
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,750,-332,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,842,-208,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,936,-276,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,928,-310,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,808,-188,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,930,-90,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,762,-334,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,936,-346,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-288,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-240,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1104,-154,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,928,-326,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,894,-320,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,896,-252,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,830,-220,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,934,-348,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,960,-296,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,864,-118,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,876,-66,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,450,-624,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,888,-114,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,884,-226,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,942,-332,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,864,-132,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,918,-254,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,808,-154,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,946,-110,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1036,-198,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,922,-232,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,808,-140,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,900,-302,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,898,-304,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-346,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,960,-296,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,820,-176,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-334,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-266,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,944,-304,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,898,-334,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,796,-128,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,352,-992,0
59-2_0064map_1_0__danna.tif,circle_detection,948,-130,0
59-2_0064map_1_0__danna.tif,circle_detection,924,-302,0
59-2_0064map_1_0__danna.tif,circle_detection,900,-322,0
59-2_0064map_1_0__danna.tif,circle_detection,960,-296,0
59-2_0064map_1_0__danna.tif,circle_detection,902,-324,0
59-2_0064map_1_0__danna.tif,circle_detection,488,-214,0
59-2_0064map_1_0__danna.tif,circle_detection,562,-350,0
59-2_0064map_1_1__augias.tif,circle_detection,864,-322,0
59-2_0064map_1_1__augias.tif,circle_detection,960,-296,0
59-2_0064map_1_1__augias.tif,circle_detection,956,-188,0
59-2_0064map_2_0__danna.tif,circle_detection,902,-322,0
59-2_0064map_2_0__danna.tif,circle_detection,900,-322,0
59-2_0064map_2_1__augias.tif,circle_detection,864,-320,0
59-2_0064map_2_1__augias.tif,circle_detection,960,-296,0
59-2_0064map_2_1__augias.tif,circle_detection,1128,-210,0
59-2_0064map_2_1__augias.tif,circle_detection,846,-158,0
59-2_0064map_2_2__ancilla.tif,circle_detection,960,-296,0
59-2_0064map_2_2__ancilla.tif,circle_detection,1046,-98,0
59-2_0064map_2_2__ancilla.tif,circle_detection,1126,-210,0
59-2_0064map_2_2__ancilla.tif,circle_detection,648,-900,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1042,-176,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,872,-312,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,884,-228,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-114,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,762,-334,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,774,-280,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,920,-232,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1000,-244,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,782,-264,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,842,-208,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,462,-622,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1104,-154,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,808,-188,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,930,-90,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-288,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,876,-66,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,830,-220,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,864,-118,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,960,-296,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,944,-304,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,864,-132,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,928,-326,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,916,-254,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,896,-252,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,820,-176,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,914,-254,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-240,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,946,-110,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,942,-332,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-346,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,898,-304,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,808,-154,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,450,-624,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,894,-322,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,926,-310,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,936,-278,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,810,-114,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-230,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-266,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,934,-346,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,898,-334,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-334,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1012,-170,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1042,-176,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,884,-228,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,774,-280,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,782,-264,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,872,-312,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,462,-622,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-112,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,750,-332,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,842,-208,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,936,-276,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,928,-310,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,808,-188,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,930,-90,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,762,-334,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,936,-346,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-288,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-240,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1104,-154,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,928,-326,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,894,-320,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,896,-252,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,830,-220,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,934,-348,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,960,-296,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,864,-118,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,876,-66,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,450,-624,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,888,-114,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,884,-226,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,942,-332,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,864,-132,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,918,-254,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,808,-154,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,946,-110,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1036,-198,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,922,-232,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,808,-140,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,900,-302,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,898,-304,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-346,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,960,-296,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,820,-176,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-334,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-266,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,944,-304,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,898,-334,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,796,-128,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,352,-992,0
