"File";"ID";"Local_X";"Local_Y";"Real_X";"Real_Y";"Red";"Green";"Blue";"species";"Title";"Gattungsname"
"0-2_0131map_1_0.tif";6;878;566;71,3758635055038;30,3378966120491;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
"0-2_0131map_1_0.tif";7;1000;478;72,9723645785067;31,4894711565102;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
"0-2_0131map_1_0.tif";8;1093;469;74,1893694948122;31,6072458258301;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
"0-2_0131map_1_0.tif";9;940;376;72,1872001163741;32,8242507421356;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
"0-2_0131map_1_0.tif";10;1113;329;74,4510909821897;33,4392962374728;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
"0-2_0131map_1_0.tif";11;940;220;72,1872001163741;34,8656783436803;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
"0-2_0131map_1_0.tif";12;1120;152;74,5426935027719;35,7555314007639;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
"0-2_0131map_1_0.tif";13;913;123;71,8338761084144;36,1350275574613;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
"0-2_0131map_1_0.tif";14;956;113;72,3965773062761;36,2658883011501;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
"0-2_0132map_1_0.tif";0;1094;470;74,2024555691811;31,5941597514612;0;0;255;"silhetana";"Eurema blanda silhetana (Wallace, 1867)";"Eurema"
"0-2_0132map_1_0.tif";1;1095;378;74,21554164355;32,7980785933978;0;0;255;"silhetana";"Eurema blanda silhetana (Wallace, 1867)";"Eurema"
"0-2_0132map_1_0.tif";2;1016;284;73,1817417684087;34,0281695840722;0;0;255;"silhetana";"Eurema blanda silhetana (Wallace, 1867)";"Eurema"
"0-2_0132map_1_1.tif";0;1091;473;74,1631973460744;31,5549015283546;0;0;255;"rubella";"Eurema brigitta rubella (Wallace, 1867)";"Eurema"
"0-2_0132map_1_1.tif";1;1108;320;74,3856606103453;33,5570709067927;0;0;255;"rubella";"Eurema brigitta rubella (Wallace, 1867)";"Eurema"
"0-2_0132map_1_1.tif";2;1015;293;73,1686556940398;33,9103949147523;0;0;255;"rubella";"Eurema brigitta rubella (Wallace, 1867)";"Eurema"
"0-2_0132map_1_1.tif";3;1058;286;73,7313568919015;34,0019974353344;0;0;255;"rubella";"Eurema brigitta rubella (Wallace, 1867)";"Eurema"
"0-2_0135map_1_0.tif";0;518;581;66,6648767327083;30,1416054965159;0;0;255;"notfound";"";NA
"0-2_0135map_1_0.tif";1;603;525;67,7771930540628;30,874425661173;0;0;255;"notfound";"";NA
"0-2_0135map_1_0.tif";2;539;503;66,9396842944547;31,1623192972883;0;0;255;"notfound";"";NA
"0-2_0135map_1_1.tif";0;550;952;67,0836311125123;25,2866719056628;0;0;255;"notfound";"";NA
"0-2_0135map_1_1.tif";1;1048;327;73,6004961482128;33,4654683862105;0;0;255;"notfound";"";NA
"0-2_0135map_1_1.tif";2;1003;297;73,0116228016133;33,8580506172768;255;0;0;"notfound";"";NA
"0-2_0135map_1_1.tif";3;918;129;71,8993064802588;36,056511111248;0;0;255;"notfound";"";NA
"0-2_0135map_1_2.tif";0;941;379;72,200286190743;32,7849925190289;0;0;255;"uniformis";"Status of taxa trifurcata Moore, 1882, uniformis Moore, 1882 and lunulifera";"Status"
"0-2_0135map_1_2.tif";1;1057;316;73,7182708175326;33,6094152042682;0;0;255;"uniformis";"Status of taxa trifurcata Moore, 1882, uniformis Moore, 1882 and lunulifera";"Status"
"0-2_0135map_1_2.tif";2;954;203;72,3704051575384;35,0881416079512;0;0;255;"uniformis";"Status of taxa trifurcata Moore, 1882, uniformis Moore, 1882 and lunulifera";"Status"
"0-2_0135map_1_2.tif";3;922;142;71,9516507777343;35,8863921444526;0;0;255;"uniformis";"Status of taxa trifurcata Moore, 1882, uniformis Moore, 1882 and lunulifera";"Status"
"0-2_0137map_1_0.tif";0;1027;294;73,3256885864664;33,8973088403834;0;0;255;"notfound";"";NA
"0-2_0137map_1_0.tif";1;1068;283;73,8622176355903;34,0412556584411;0;0;255;"notfound";"";NA
"0-2_0137map_1_1.tif";0;1113;306;74,4510909821897;33,7402759479569;0;0;255;"epijarbas";"Deudoryx epijarbas (Moore, [1858])";"Deudoryx"
"0-2_0137map_1_1.tif";1;963;297;72,4881798268583;33,8580506172768;0;0;255;"epijarbas";"Deudoryx epijarbas (Moore, [1858])";"Deudoryx"
"0-2_0137map_1_1.tif";2;1030;254;73,364946809573;34,4207518151385;0;0;255;"epijarbas";"Deudoryx epijarbas (Moore, [1858])";"Deudoryx"
"0-2_0137map_1_1.tif";3;918;117;71,8993064802588;36,2135440036746;0;0;255;"epijarbas";"Deudoryx epijarbas (Moore, [1858])";"Deudoryx"
"0-2_0137map_1_1.tif";4;949;112;72,304974785694;36,2789743755189;0;0;255;"epijarbas";"Deudoryx epijarbas (Moore, [1858])";"Deudoryx"
"0-2_0138map_1_0.tif";0;700;1021;69,0465422678438;24,3837327742103;0;0;255;"iarbus";"Rapala iarbus (Fabricius, 1787)";"Rapala"
"0-2_0138map_1_0.tif";1;547;971;67,0443728894057;25,0380364926541;0;0;255;"iarbus";"Rapala iarbus (Fabricius, 1787)";"Rapala"
"0-2_0138map_1_0.tif";2;651;936;68,4053246237688;25,4960490955648;0;0;255;"iarbus";"Rapala iarbus (Fabricius, 1787)";"Rapala"
"0-2_0138map_1_0.tif";3;982;335;72,7368152398669;33,3607797912595;0;0;255;"iarbus";"Rapala iarbus (Fabricius, 1787)";"Rapala"
"0-2_0138map_1_0.tif";4;1010;278;73,1032253221955;34,1066860302855;0;0;255;"iarbus";"Rapala iarbus (Fabricius, 1787)";"Rapala"
"0-2_0138map_1_0.tif";5;883;263;71,4412938773482;34,3029771458186;0;0;255;"iarbus";"Rapala iarbus (Fabricius, 1787)";"Rapala"
"0-2_0138map_1_0.tif";6;1179;175;75,3147718905356;35,4545516902797;0;0;255;"iarbus";"Rapala iarbus (Fabricius, 1787)";"Rapala"
"0-2_0140map_1_0.tif";0;703;1020;69,0858004909504;24,3968188485792;0;0;255;"isocrates";"Virachola isocrates (Fabricius, 1793)";"Virachola"
"0-2_0140map_1_0.tif";1;544;958;67,0051146662991;25,2081554594495;0;0;255;"isocrates";"Virachola isocrates (Fabricius, 1793)";"Virachola"
"0-2_0140map_1_0.tif";2;417;831;65,3431832214518;26,8700869042968;0;0;255;"isocrates";"Virachola isocrates (Fabricius, 1793)";"Virachola"
"0-2_0140map_1_0.tif";3;1019;235;73,2209999915153;34,6693872281471;0;0;255;"isocrates";"Virachola isocrates (Fabricius, 1793)";"Virachola"
"0-2_0140map_1_1.tif";0;1011;284;73,1163113965643;34,0281695840722;0;0;255;"rama";"Arhopala rama (Kollar, 1844)";"Arhopala"
"0-2_0140map_1_1.tif";1;1018;248;73,2079139171465;34,4992682613518;0;0;255;"rama";"Arhopala rama (Kollar, 1844)";"Arhopala"
"0-2_0141map_1_0.tif";0;985;314;72,7760734629735;33,6355873530059;0;0;255;"dodonaea";"Arhopala dodonaea (Moore, [1858])";"Arhopala"
"0-2_0141map_1_0.tif";1;1056;281;73,7051847431638;34,0674278071788;0;0;255;"dodonaea";"Arhopala dodonaea (Moore, [1858])";"Arhopala"
"0-2_0141map_1_0.tif";2;1022;244;73,260258214622;34,5516125588273;0;0;255;"dodonaea";"Arhopala dodonaea (Moore, [1858])";"Arhopala"
"0-2_0141map_1_0.tif";3;923;190;71,9647368521032;35,2582605747466;0;0;255;"dodonaea";"Arhopala dodonaea (Moore, [1858])";"Arhopala"
"0-2_0141map_1_0.tif";4;937;121;72,1479418932675;36,1611997061991;0;0;255;"dodonaea";"Arhopala dodonaea (Moore, [1858])";"Arhopala"
"0-2_0141map_1_1.tif";0;1028;233;73,3387746608352;34,6955593768849;0;0;255;"ganesa";"Panchala ganesa (Moore, [1858])";"Panchala"
"0-2_0141map_1_1.tif";1;920;192;71,9254786289966;35,2320884260088;0;0;255;"ganesa";"Panchala ganesa (Moore, [1858])";"Panchala"
"0-2_0141map_1_1.tif";2;916;165;71,8731343315211;35,5854124339685;0;0;255;"ganesa";"Panchala ganesa (Moore, [1858])";"Panchala"
"0-2_0141map_1_1.tif";3;918;120;71,8993064802588;36,1742857805679;0;0;255;"ganesa";"Panchala ganesa (Moore, [1858])";"Panchala"
"0-2_0141map_1_1.tif";4;950;116;72,3180608600629;36,2266300780434;0;0;255;"ganesa";"Panchala ganesa (Moore, [1858])";"Panchala"
"0-2_0143map_1_0.tif";0;818;292;70,5906990433712;33,9234809891212;0;0;255;"syla";"Neozepbyrus syla (Kollar, 1844)";"Neozepbyrus"
"0-2_0143map_1_0.tif";1;958;212;72,4227494550139;34,9703669386313;0;0;255;"syla";"Neozepbyrus syla (Kollar, 1844)";"Neozepbyrus"
"0-2_0143map_1_0.tif";2;1038;207;73,469635404524;35,0357973104757;0;0;255;"syla";"Neozepbyrus syla (Kollar, 1844)";"Neozepbyrus"
"0-2_0143map_1_0.tif";3;913;183;71,8338761084144;35,3498630953287;0;0;255;"syla";"Neozepbyrus syla (Kollar, 1844)";"Neozepbyrus"
"0-2_0143map_1_0.tif";4;966;181;72,5274380499649;35,3760352440665;0;0;255;"syla";"Neozepbyrus syla (Kollar, 1844)";"Neozepbyrus"
"0-2_0148map_1_0.tif";0;538;971;66,9265982200858;25,0380364926541;0;0;255;"comedarum";"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";"Lycaena"
"0-2_0148map_1_0.tif";1;517;579;66,6517906583394;30,1677776452537;0;0;255;"comedarum";"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";"Lycaena"
"0-2_0148map_1_0.tif";2;564;544;67,2668361536766;30,6257902481643;0;0;255;"comedarum";"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";"Lycaena"
"0-2_0148map_1_0.tif";3;990;295;72,8415038348179;33,8842227660146;0;0;255;"comedarum";"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";"Lycaena"
"0-2_0148map_1_0.tif";4;884;260;71,454379951717;34,3422353689252;0;0;255;"comedarum";"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";"Lycaena"
"0-2_0148map_1_0.tif";5;1027;245;73,3256885864664;34,5385264844584;0;0;255;"comedarum";"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";"Lycaena"
"0-2_0148map_1_0.tif";6;956;215;72,3965773062761;34,9311087155247;0;0;255;"comedarum";"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";"Lycaena"
"0-2_0148map_1_0.tif";7;1058;192;73,7313568919015;35,2320884260088;0;0;255;"comedarum";"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";"Lycaena"
"0-2_0148map_1_0.tif";8;1112;186;74,4380049078209;35,3106048722221;0;0;255;"comedarum";"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";"Lycaena"
"0-2_0148map_1_0.tif";9;974;186;72,6321266449159;35,3106048722221;0;0;255;"comedarum";"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";"Lycaena"
"0-2_0148map_1_0.tif";10;1009;165;73,0901392478266;35,5854124339685;0;0;255;"comedarum";"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";"Lycaena"
"0-2_0148map_1_0.tif";11;1232;150;76,008333832086;35,7817035495016;0;0;255;"comedarum";"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";"Lycaena"
"0-2_0148map_1_0.tif";12;921;129;71,9385647033655;36,056511111248;0;0;255;"comedarum";"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";"Lycaena"
"0-2_0148map_1_0.tif";13;1201;122;75,6026655266509;36,1481136318302;0;0;255;"comedarum";"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";"Lycaena"
