"species";"legend_key";"legend_index";"search_specie";"file_name";"map_name"
"Lachides ella (Butler, 1881)";0;0;"ella";"D:/distribution_digitizer/data/input/pages\0166.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/34-2_0166map_1_0.tif"
"Chilades trochylus (Freyer, [1845 ])";0;0;"trochylus";"D:/distribution_digitizer/data/input/pages\0166.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/34-2_0166map_1_1.tif"
"Bibasis sena (Moore, 1866)";0;0;"sena";"D:/distribution_digitizer/data/input/pages\0040.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/35-2_0040map_1_0.tif"
"Erynnis pathan Evans, 1949";0;0;"pathan";"D:/distribution_digitizer/data/input/pages\0040.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/35-2_0040map_1_1.tif"
"Erynnis pathan max Evans, 1949";0;0;"max";"D:/distribution_digitizer/data/input/pages\0040.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/35-2_0040map_1_1.tif"
"Spialia rubicunda";0;0;"rubicunda";"D:/distribution_digitizer/data/input/pages\0043.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/38-2_0043map_1_0.tif"
"(Paragrodiaetus) nadirus Moore, 1884 ssp. nadirus Moore, 1884 (= bogra";0;0;"bogra";"D:/distribution_digitizer/data/input/pages\0202.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/38-2_0202map_1_0.tif"
"Spialia carnea (Reverdin, 1927)";0;0;"carnea";"D:/distribution_digitizer/data/input/pages\0044.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/39-2_0044map_1_0.tif"
"Spialia geron (Watson, 1893)";0;0;"geron";"D:/distribution_digitizer/data/input/pages\0044.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/39-2_0044map_1_1.tif"
"Appias albina darada (C. & R. Felder, 1865)";0;0;"darada";"D:/distribution_digitizer/data/input/pages\0108.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/4-2_0108map_1_1.tif"
"Appias libythea (Fabricius, 1775)";0;0;"libythea";"D:/distribution_digitizer/data/input/pages\0108.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/4-2_0108map_1_2.tif"
"Anaphaeis aurota (Fabricius, 1793)";0;0;"aurota";"D:/distribution_digitizer/data/input/pages\0109.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/4-2_0109map_1_0.tif"
"Cigaritis acamas hypargyros (Butler, 1886)";0;0;"hypargyros";"D:/distribution_digitizer/data/input/pages\0134.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/4-2_0134map_1_0.tif"
"Neolycaena connae SSS Baluchistan.  Neolycaena connae Evans. - SSS Biluchistan.  Neolycaena connae Evans 1932";0;0;"connae";"D:/distribution_digitizer/data/input/pages\0145.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/4-2_0145map_1_0.tif"
"Callophrys naderii ten Hagen, 2008";0;0;"naderii";"D:/distribution_digitizer/data/input/pages\0145.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/4-2_0145map_1_1.tif"
"Hyrcanana sartha susanus (de Nicéville, 1890)";0;0;"susanus";"D:/distribution_digitizer/data/input/pages\0153.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/4-2_0153map_1_0.tif"
"Plebejus agestis nazira (Moore, 1865)";0;0;"nazira";"D:/distribution_digitizer/data/input/pages\0183.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/4-2_0183map_1_0.tif"
"Hyponephele naricina fusca (Stshetkin, 1960)";0;0;"fusca";"D:/distribution_digitizer/data/input/pages\0234.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/4-2_0234map_1_0.tif"
"Hyponephele wagneri mandane (Kollar, [1849])";0;0;"mandane";"D:/distribution_digitizer/data/input/pages\0234.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/4-2_0234map_1_1.tif"
"Pseudochazara lehana pakistana (Gross, 1978)";0;0;"pakistana";"D:/distribution_digitizer/data/input/pages\0252.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/4-2_0252map_1_0.tif"
"Pseudochazara lehana gilgitica (Tytler, 1926)";0;0;"gilgitica";"D:/distribution_digitizer/data/input/pages\0252.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/4-2_0252map_1_0.tif"
"Pseudochazara lehana meissonnieri";0;0;"meissonnieri";"D:/distribution_digitizer/data/input/pages\0252.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/4-2_0252map_1_0.tif"
"Spialia doris evanida (Butler, 1880)";0;0;"evanida";"D:/distribution_digitizer/data/input/pages\0045.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/40-2_0045map_1_0.tif"
"Spialia galba (Fabricius, 1793)";0;0;"galba";"D:/distribution_digitizer/data/input/pages\0045.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/40-2_0045map_1_1.tif"
"Spialia zebra (Butler, 1888)";0;0;"zebra";"D:/distribution_digitizer/data/input/pages\0046.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/41-2_0046map_1_0.tif"
"Muschampia musta Evans, 1949";0;0;"musta";"D:/distribution_digitizer/data/input/pages\0046.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/41-2_0046map_1_1.tif"
"Muschampia plurimacula (Christoph, 1893)";0;0;"plurimacula";"D:/distribution_digitizer/data/input/pages\0047.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/42-2_0047map_1_0.tif"
"Muschampia phil Evans, 1949 stat. nov.";0;0;"phil";"D:/distribution_digitizer/data/input/pages\0047.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/42-2_0047map_1_1.tif"
"Pyrgus cashmirensis Moore, 1874";0;0;"cashmirensis";"D:/distribution_digitizer/data/input/pages\0048.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/43-2_0048map_1_0.tif"
"Lobocla liliana (Atkinson, 1871)";0;0;"iliana";"D:/distribution_digitizer/data/input/pages\0050.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/45-2_0050map_1_0.tif"
"Tagiades cohaerens (Mabille, 1914)";0;0;"cohaerens";"D:/distribution_digitizer/data/input/pages\0050.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/45-2_0050map_1_1.tif"
"Tagiades menaka (Moore, [1866])";0;0;"menaka";"D:/distribution_digitizer/data/input/pages\0050.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/45-2_0050map_1_2.tif"
"Odontoptilum angulata (Felder, 1862)";0;0;"angulata";"D:/distribution_digitizer/data/input/pages\0051.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/46-2_0051map_1_0.tif"
"Coladenia dan fatih (Kollar, 1844)";0;0;"fatih";"D:/distribution_digitizer/data/input/pages\0051.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/46-2_0051map_1_1.tif"
"Coladenia indrani (Moore [1866])";0;0;"indrani";"D:/distribution_digitizer/data/input/pages\0051.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/46-2_0051map_1_2.tif"
"Celaenorrhinus leucocera (Kollar, 1844)";0;0;"leucocera";"D:/distribution_digitizer/data/input/pages\0052.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/47-2_0052map_1_0.tif"
"Celaenorrhinus munda (Moore, 1884)";0;0;"munda";"D:/distribution_digitizer/data/input/pages\0052.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/47-2_0052map_1_1.tif"
